LotArea,LotShape,Utilities,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,YrSold,MSSubClass,MSZoning,Street,LandContour,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,Foundation,Heating,CentralAir,Electrical,GarageType,GarageFinish,MoSold,SaleType,SaleCondition,SalePrice
11200,4,4,3,5,5,1965,1965,0.0,3,3,3,3,0,3,906,1,0,134,1040,5,1040,0,0,1040,1,0,1,0,3,1,3,5,8,0,1965.0,1,384,3,3,2,0,0,0,0,0,0,0,2008,SC20,RL,Pave,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,SBrkr,Detchd,Unf,Feb,WD,Normal,129500
11924,3,4,3,9,5,2005,2006,286.0,5,3,5,3,0,6,998,1,0,177,1175,5,1182,1142,0,2324,1,0,3,0,4,1,5,11,8,2,2005.0,3,736,3,3,2,147,21,0,0,0,0,0,2006,SC60,RL,Pave,Lvl,Inside,NridgHt,Norm,Norm,1Fam,2Story,Hip,CompShg,WdShing,Wd Shng,Stone,PConc,GasA,Y,SBrkr,BuiltIn,Fin,Jul,New,Partial,345000
12968,2,4,3,5,6,1962,1962,0.0,3,3,3,3,0,5,737,1,0,175,912,3,912,0,0,912,1,0,1,0,2,1,3,4,8,0,1962.0,1,352,3,3,2,140,0,0,0,176,0,0,2008,SC20,RL,Pave,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,Plywood,None,CBlock,GasA,Y,SBrkr,Detchd,Unf,Sep,WD,Normal,144000
10652,3,4,3,7,5,2006,2007,306.0,4,3,4,3,2,1,0,1,0,1494,1494,5,1494,0,0,1494,0,0,2,0,3,1,4,7,8,1,2006.0,3,840,3,3,2,160,33,0,0,0,0,0,2007,SC20,RL,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Attchd,RFn,Aug,New,Partial,279500
10920,3,4,3,6,5,1960,1960,212.0,3,3,3,3,0,4,733,1,0,520,1253,3,1253,0,0,1253,1,0,1,1,2,1,3,5,8,1,1960.0,1,352,3,3,2,0,213,176,0,0,0,0,2008,SC20,RL,Pave,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,RFn,May,WD,Normal,157000
6120,4,4,3,7,8,1929,2001,0.0,3,3,3,3,0,1,0,1,0,832,832,5,854,0,0,854,0,0,1,0,2,1,3,5,8,0,1991.0,2,576,3,3,2,48,112,0,0,0,0,0,2007,SC45,RM,Pave,Lvl,Corner,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,FuseA,Detchd,Unf,Jul,WD,Normal,132000
11241,3,4,3,6,7,1970,1970,180.0,3,3,3,3,0,5,578,1,0,426,1004,5,1004,0,0,1004,1,0,1,0,2,1,3,5,8,1,1970.0,2,480,3,3,2,0,0,0,0,0,0,700,2010,SC20,RL,Pave,Lvl,CulDSac,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,Fin,Mar,WD,Normal,149000
13695,4,4,3,5,5,2004,2004,0.0,3,3,3,3,0,6,646,1,0,468,1114,5,1114,0,0,1114,1,0,1,1,3,1,4,6,8,0,2004.0,2,576,3,3,2,0,102,0,0,0,0,0,2008,SC20,RL,Pave,Lvl,Inside,SawyerW,RRAe,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Detchd,Unf,Jun,WD,Normal,159000
7560,4,4,3,5,6,1958,1965,0.0,3,3,3,3,0,2,504,1,0,525,1029,3,1339,0,0,1339,0,0,1,0,3,1,3,6,7,0,1958.0,1,294,3,3,2,0,0,0,0,0,0,0,2009,SC20,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,Plywood,None,CBlock,GasA,Y,SBrkr,Attchd,Unf,May,COD,Abnorml,139000
14215,3,4,3,8,5,2005,2006,380.0,4,3,5,3,2,1,0,1,0,1158,1158,5,1158,1218,0,2376,0,0,3,1,4,1,4,9,8,1,2005.0,3,853,3,3,2,240,154,0,0,0,0,0,2006,SC60,RL,Pave,Lvl,Corner,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,BuiltIn,RFn,Nov,New,Partial,325300
7449,4,4,3,7,7,1930,1950,0.0,3,3,3,3,0,1,0,1,0,637,637,5,1108,0,0,1108,0,0,1,0,3,1,4,6,8,1,1930.0,1,280,3,3,0,0,0,205,0,0,0,0,2007,SC45,RM,Pave,Bnk,Inside,IDOTRR,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,PConc,GasA,Y,FuseF,Attchd,Unf,Jun,WD,Normal,139400
9742,4,4,3,8,5,2002,2002,281.0,4,3,4,3,0,1,0,1,0,1777,1777,5,1795,0,0,1795,0,0,2,0,3,1,4,7,8,1,2002.0,2,534,3,3,2,171,159,0,0,0,0,0,2008,SC20,RL,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,RFn,Sep,WD,Normal,230000
4224,4,4,3,5,7,1976,1976,0.0,3,3,4,3,0,6,840,1,0,200,1040,3,1060,0,0,1060,1,0,1,0,3,1,3,6,8,1,1976.0,2,572,3,3,2,100,110,0,0,0,0,0,2007,SC120,RM,Pave,Lvl,Inside,MeadowV,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,None,PConc,GasA,Y,SBrkr,Attchd,Unf,Jun,WD,Normal,129900
8246,3,4,3,5,8,1968,2001,0.0,3,4,3,3,1,3,188,5,668,204,1060,5,1060,0,0,1060,1,0,1,0,3,1,4,6,8,1,1968.0,1,270,3,3,2,406,90,0,0,0,0,0,2010,SC20,RL,Pave,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,CBlock,GasA,Y,SBrkr,Attchd,Unf,May,WD,Normal,154000
14230,4,4,3,8,5,2007,2007,640.0,4,3,4,3,0,1,0,1,0,1566,1566,5,1600,0,0,1600,0,0,2,0,3,1,4,7,8,1,2007.0,3,890,3,3,2,0,56,0,0,0,0,0,2009,SC20,RL,Pave,Lvl,Corner,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Attchd,RFn,Jul,WD,Normal,256300
7200,4,4,3,5,7,1951,2000,0.0,3,3,3,3,1,4,234,3,486,180,900,3,900,0,0,900,0,1,1,0,3,1,4,5,8,0,2005.0,2,576,3,3,2,222,32,0,0,0,0,0,2010,SC20,RL,Pave,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,SBrkr,Detchd,Unf,May,WD,Normal,134800
11478,4,4,3,8,5,2007,2008,200.0,4,3,5,3,0,6,1218,1,0,486,1704,5,1704,0,0,1704,1,0,2,0,3,1,4,7,8,1,2008.0,3,772,3,3,2,0,50,0,0,0,0,0,2010,SC20,RL,Pave,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Attchd,RFn,May,WD,Normal,306000
16321,3,4,3,5,6,1957,1997,0.0,3,3,3,3,3,4,1277,1,0,207,1484,3,1600,0,0,1600,1,0,1,0,2,1,3,6,8,2,1957.0,1,319,3,3,2,288,258,0,0,0,0,0,2006,SC20,RL,Pave,Lvl,CulDSac,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,SBrkr,Attchd,RFn,Dec,WD,Normal,207500
6324,3,4,3,4,6,1927,1950,0.0,3,3,3,3,0,1,0,1,0,520,520,2,520,0,0,520,0,0,1,0,1,1,2,4,8,0,1920.0,1,240,2,3,2,49,0,87,0,0,0,0,2008,SC30,RM,Pave,Lvl,Inside,BrkSide,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,N,SBrkr,Detchd,Unf,May,WD,Normal,68500
8500,4,4,3,4,4,1920,1950,0.0,3,2,3,3,0,1,0,1,0,649,649,3,649,668,0,1317,0,0,1,0,3,1,3,6,8,0,1920.0,1,250,3,2,0,0,54,172,0,0,0,0,2008,SC70,C (all),Pave,Lvl,Inside,IDOTRR,Feedr,Norm,1Fam,2Story,Gambrel,CompShg,BrkFace,BrkFace,None,BrkTil,GasA,N,SBrkr,Detchd,Unf,Jul,WD,Normal,40000
8544,3,4,3,5,6,1966,2006,0.0,3,3,3,3,0,1,0,1,0,1228,1228,4,1228,0,0,1228,0,0,1,1,3,1,4,6,8,0,1966.0,1,271,3,3,2,0,65,0,0,0,0,0,2008,SC20,RL,Pave,Lvl,CulDSac,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,SBrkr,Attchd,Unf,Jun,WD,Normal,149350
11049,4,4,3,8,5,2007,2007,0.0,4,3,5,3,2,1,0,1,0,1234,1234,5,1234,0,0,1234,0,0,2,0,3,1,4,7,8,0,2007.0,2,484,3,3,2,0,30,0,0,0,0,0,2008,SC20,RL,Pave,Lvl,Corner,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,RFn,Jan,WD,Normal,179900
10552,3,4,3,5,5,1959,1959,0.0,3,3,3,3,0,3,1018,1,0,380,1398,4,1700,0,0,1700,0,1,1,1,4,1,4,6,8,1,1959.0,2,447,3,3,2,0,38,0,0,0,0,0,2010,SC20,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,None,CBlock,GasA,Y,SBrkr,Attchd,RFn,Apr,WD,Normal,165500
7313,4,4,3,9,5,2005,2005,246.0,5,3,5,3,0,6,1153,1,0,408,1561,5,1561,0,0,1561,1,0,2,0,2,1,5,6,8,1,2005.0,2,556,3,3,2,203,47,0,0,0,0,0,2007,SC120,RL,Pave,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Fin,Aug,WD,Normal,277500
13418,4,4,3,8,5,2004,2005,132.0,4,3,5,3,2,1,0,1,0,1117,1117,5,1132,1320,0,2452,0,0,3,1,4,1,4,9,8,1,2004.0,3,691,3,3,2,113,32,0,0,0,0,0,2006,SC60,RL,Pave,Lvl,Inside,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,BuiltIn,Fin,Sep,WD,Normal,309000
10859,4,4,3,5,5,1994,1995,0.0,3,3,4,3,0,1,0,1,0,1097,1097,5,1097,0,0,1097,0,0,1,1,3,1,3,6,8,0,1995.0,2,672,3,3,2,392,64,0,0,0,0,0,2009,SC20,RL,Pave,Lvl,Corner,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,Unf,Jun,WD,Normal,145000
8532,4,4,3,5,6,1954,1990,650.0,3,3,3,3,0,3,1213,1,0,84,1297,4,1297,0,0,1297,0,1,1,0,3,1,3,5,8,1,1954.0,2,498,3,3,2,0,0,0,0,0,0,0,2009,SC20,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,Fin,Oct,WD,Normal,153000
7922,4,4,3,5,7,1953,2007,0.0,3,4,3,3,0,6,731,1,0,326,1057,3,1057,0,0,1057,1,0,1,0,3,1,4,5,8,0,1953.0,1,246,3,3,2,0,52,0,0,0,0,0,2010,SC20,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,SBrkr,Detchd,Unf,Jan,WD,Abnorml,109000
8658,4,4,3,6,5,1965,1965,101.0,3,3,3,3,0,3,643,1,0,445,1088,5,1324,0,0,1324,0,0,2,0,3,1,3,6,8,1,1965.0,2,440,3,3,2,0,138,0,0,0,0,0,2006,SC20,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,RFn,Dec,WD,Abnorml,160000
16905,4,4,3,5,6,1959,1959,0.0,3,4,3,3,3,4,967,1,0,383,1350,4,1328,0,0,1328,0,1,1,1,2,1,3,5,8,2,1959.0,1,308,3,3,1,0,104,0,0,0,0,0,2007,SC20,RL,Pave,Lvl,Inside,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,SBrkr,Attchd,RFn,Jul,WD,Normal,170000
9180,3,4,3,5,7,1983,1983,0.0,3,3,4,3,2,5,747,2,93,0,840,4,884,0,0,884,1,0,1,0,2,1,4,5,8,0,1983.0,2,504,3,4,2,240,0,0,0,0,0,0,2007,SC85,RL,Pave,Lvl,CulDSac,SawyerW,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,SBrkr,Attchd,RFn,Dec,WD,Normal,144000
9200,3,4,3,5,6,1975,1980,0.0,3,3,4,3,2,2,280,4,491,167,938,3,938,0,0,938,1,0,1,0,3,1,3,5,8,0,1977.0,1,308,3,3,2,145,0,0,0,0,0,0,2008,SC20,RL,Pave,Lvl,CulDSac,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,SBrkr,Detchd,Unf,Jul,WD,Normal,130250
7945,4,4,3,5,6,1959,1959,0.0,3,3,3,3,0,5,179,4,506,465,1150,5,1150,0,0,1150,1,0,1,0,3,1,3,6,8,0,1959.0,1,300,3,3,2,0,0,0,0,0,0,0,2006,SC20,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,None,CBlock,GasA,Y,FuseA,Attchd,RFn,May,WD,Normal,141000
7658,4,4,3,9,5,2005,2005,412.0,5,3,5,3,0,6,456,1,0,1296,1752,5,1752,0,0,1752,1,0,2,0,2,1,5,6,8,1,2005.0,2,576,3,3,2,196,82,0,0,0,0,0,2010,SC120,RL,Pave,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,RFn,Feb,WD,Normal,319900
12822,3,4,3,7,5,2003,2003,0.0,4,3,5,3,0,6,1351,1,0,83,1434,5,1518,631,0,2149,1,0,1,1,1,1,4,6,8,1,2003.0,2,670,3,3,2,168,43,0,0,198,0,0,2009,SC50,RL,Pave,Lvl,CulDSac,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,RFn,Aug,WD,Abnorml,239686
11096,4,4,3,8,5,2006,2006,0.0,4,3,4,3,2,6,24,1,0,1632,1656,5,1656,0,0,1656,0,0,2,0,3,1,4,7,8,0,2006.0,3,826,3,3,2,0,146,0,0,0,0,0,2007,SC20,FV,Pave,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,RFn,Jul,WD,Normal,249700
7742,4,4,3,5,7,1966,1966,0.0,3,3,3,3,0,4,763,1,0,192,955,5,955,0,0,955,1,0,1,0,3,1,3,6,8,0,1966.0,1,386,3,3,2,0,0,0,0,0,0,0,2007,SC20,RL,Pave,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,SBrkr,Attchd,Unf,Jan,WD,Normal,127000
13869,2,4,3,6,6,1997,1997,0.0,3,3,4,3,2,6,182,1,0,612,794,4,794,676,0,1470,0,1,2,0,3,1,3,6,8,0,1997.0,2,388,3,3,2,0,75,0,0,0,0,0,2007,SC60,RL,Pave,Lvl,Corner,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,Fin,Jul,WD,Normal,177000
6240,4,4,3,6,6,1934,1950,0.0,3,3,3,3,0,1,0,1,0,816,816,3,816,0,360,1176,0,0,1,0,3,1,3,6,8,1,1985.0,2,528,3,3,2,112,0,0,0,0,0,400,2006,SC50,RM,Pave,Lvl,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,PConc,GasA,Y,SBrkr,Detchd,Unf,Sep,WD,Normal,114500
8472,2,4,2,5,5,1963,1963,0.0,2,3,4,3,3,2,104,6,712,0,816,3,816,0,0,816,1,0,1,0,2,1,3,5,8,0,1963.0,2,516,3,3,2,106,0,0,0,0,0,0,2010,SC90,RM,Grvl,Bnk,Corner,IDOTRR,RRNn,Norm,Duplex,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,N,SBrkr,CarPort,Unf,May,WD,Normal,110000
50271,3,4,3,9,5,1981,1987,0.0,4,3,5,3,3,6,1810,1,0,32,1842,4,1842,0,0,1842,2,0,0,1,0,1,4,5,8,1,1981.0,3,894,3,3,2,857,72,0,0,0,0,0,2006,SC20,RL,Pave,Low,Inside,Veenker,Norm,Norm,1Fam,1Story,Gable,WdShngl,WdShing,Wd Shng,None,CBlock,GasA,Y,SBrkr,Attchd,Fin,Nov,WD,Normal,385000
7134,4,4,2,5,5,1955,1955,0.0,3,3,3,3,0,5,384,1,0,0,384,3,1360,0,0,1360,0,0,1,0,3,1,3,6,7,1,1962.0,2,572,3,3,2,0,50,0,0,0,0,0,2007,SC80,RL,Pave,Bnk,Inside,NAmes,Norm,Norm,1Fam,SLvl,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,SBrkr,Detchd,Unf,Feb,WD,Normal,130000
10175,3,4,3,6,5,1964,1964,272.0,3,3,3,3,0,4,490,1,0,935,1425,4,1425,0,0,1425,0,0,2,0,3,1,3,7,8,1,1964.0,2,576,3,3,2,0,0,0,407,0,0,0,2008,SC20,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,Plywood,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,RFn,Jul,WD,Normal,180500
2645,4,4,3,8,5,1999,2000,456.0,4,3,4,3,0,6,649,1,0,321,970,5,983,756,0,1739,1,0,2,1,3,1,4,7,8,0,1999.0,2,480,3,3,2,115,0,0,0,0,0,0,2009,SC160,FV,Pave,Lvl,Inside,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Fin,Aug,WD,Abnorml,172500
11645,3,4,3,7,5,2004,2004,0.0,4,3,4,3,0,1,0,1,0,860,860,5,860,860,0,1720,0,0,2,1,3,1,4,7,8,0,2004.0,2,565,3,3,2,0,70,0,0,0,0,0,2006,SC60,RL,Pave,Lvl,Corner,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,RFn,Aug,WD,Normal,196500
13682,2,4,3,10,5,2006,2006,1031.0,5,3,5,3,3,1,0,1,0,1410,1410,5,1426,1519,0,2945,0,0,3,1,3,1,4,10,8,1,2006.0,3,641,3,3,2,192,0,37,0,0,0,0,2006,SC60,RL,Pave,HLS,CulDSac,StoneBr,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,BuiltIn,Fin,Oct,New,Partial,438780
7200,4,4,3,5,7,1972,1972,0.0,3,3,3,3,2,5,632,1,0,148,780,5,780,0,0,780,0,0,1,0,2,1,3,4,8,0,1973.0,1,352,3,3,2,196,0,0,0,0,0,0,2008,SC20,RL,Pave,Bnk,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,SBrkr,Detchd,Unf,Jan,WD,Normal,124900
13072,4,4,3,6,5,2004,2004,0.0,3,3,4,3,0,5,941,1,0,217,1158,5,1158,0,0,1158,1,0,1,1,3,1,4,5,8,0,2006.0,2,576,3,3,2,0,50,0,0,0,0,0,2006,SC20,RL,Pave,Lvl,Inside,SawyerW,RRAe,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Detchd,Unf,May,New,Partial,158000
7200,4,4,3,5,7,1920,1996,0.0,3,3,3,2,0,1,0,1,0,530,530,3,581,530,0,1111,0,0,1,0,3,1,2,6,8,0,1935.0,1,288,3,3,0,0,0,144,0,0,0,0,2007,SC75,RM,Pave,Lvl,Inside,IDOTRR,Norm,Norm,1Fam,2.5Unf,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,N,SBrkr,Detchd,Unf,Mar,WD,Normal,101000
